,result,moves
0,-1,"['6R', '7L', '9R', '7L', '7R', '8L', '6L', '9L', '7R', '10L', '10R', '7R', '8L']"
1,-1,"['8R', '8R', '7R', '6R', '9L', '6L', '8L']"
2,-1,"['6L', '6L', '7L', '8R', '10L', '8R', '10L', '7L', '9R', '10R', '10R']"
3,-1,"['9R', '8R', '7R', '10R', '9R', '10L', '8R', '7L', '7R', '6R', '7L', '7R', '9R', '8R', '9R', '10R', '10L', '7R', '9R', '6R', '10L', '9L']"
4,1,"['8R', '8L', '9L', '8L', '7R', '7L', '10L', '7L', '6R', '9L', '10L']"
5,1,"['10R', '9R', '6R', '6L', '8R', '10L', '9L', '8R']"
6,1,"['6R', '7R', '7L', '10L', '6L', '8R', '10L', '9L', '7L', '6R']"
7,1,"['8L', '6L', '7R', '7R', '10L', '8L', '7R', '6L', '9L', '10R', '6L', '8L']"
8,1,"['6R', '7L', '7L', '8L', '8R', '7R', '8L', '7R', '9L', '8L', '7R']"
9,-1,"['6R', '8R', '8L', '7L', '10R', '7R', '8L']"
10,1,"['7L', '10L', '6L', '6L', '10R', '8R', '9R', '9L', '8L']"
11,-1,"['6R', '10R', '10R', '10L', '7R', '10R', '6L', '8R', '10R']"
12,-1,"['7R', '7R', '8R', '7L', '10L', '8L', '6R', '8L', '10L', '9R', '10R', '10L', '10L', '7R', '6R', '10L']"
13,-1,"['9L', '9L', '10L', '6L', '9R', '8R', '9R', '8L', '10R', '7L', '10L', '9R', '10L', '9L', '8R', '6L', '7R']"
14,-1,"['10R', '6L', '9L', '8L', '6L', '8R', '9R', '9R', '10R', '10R', '6R']"
15,-1,"['10L', '7L', '10L', '8R', '8R', '6R', '7L', '10L']"
16,-1,"['7R', '8L', '7L', '6R', '9L', '6L', '7R', '10R', '9L', '10R', '8R']"
17,1,"['9R', '6L', '8R', '7R', '6R', '10L', '6L', '6R']"
18,-1,"['8R', '6R', '10L', '8R', '9R', '10R', '6R', '7R', '10L', '6R', '9L', '6L', '8R', '10R', '6L', '8R', '9L', '6L', '8L']"
19,1,"['9L', '7L', '6L', '9L', '6L', '7L', '10L', '9R', '6R', '9L', '7L', '8L', '6R', '8R', '9L', '6R', '7R', '6R', '8L', '7R', '9R', '6L', '6L', '9L', '6R', '7R', '10L']"
20,1,"['10R', '10L', '6R', '8L', '7R', '10L', '7L', '10R', '7R', '8L', '7R']"
21,1,"['9R', '8R', '9R', '7R', '6L', '10R', '9R', '7R', '10L', '8R', '10R', '6R', '7R']"
22,1,"['6R', '7R', '10L', '8R', '9R', '10L', '7R', '10R', '9L', '9R', '10L', '6R', '7L', '7L', '6R', '8L', '7L', '6L', '7R', '10L', '8L', '7L', '8R']"
23,1,"['10R', '9L', '6R', '8L', '7L', '6R', '7L', '9R', '10R', '10L', '7R', '8L', '10R', '6R', '8L', '7L', '7L', '6L', '10L', '9L', '8L', '7L', '6R', '7R', '8R']"
24,1,"['9R', '7L', '8L', '9R', '6R', '7R', '8R', '9L', '8L']"
25,1,"['7L', '10R', '7L', '9L', '8R', '10L', '7L', '8R', '9L', '10L', '9R', '7R', '8L', '7L', '6L', '6R', '9L', '7L', '6L', '8L', '7R', '8L', '7R', '8R', '10L']"
26,-1,"['10R', '9R', '7R', '10R', '9R', '6R', '7R', '9L', '6L', '8L', '6L', '9L', '8L', '7L', '6R', '8L', '7L', '6R', '7L', '6R', '7L', '8L', '7L', '6L', '9R', '10R', '6L', '8R', '10L', '7L', '9R', '6R', '7L']"
27,-1,"['6L', '7R', '6L', '7R', '6R', '6L', '8R', '8L', '7L', '9R', '10L']"
28,-1,"['7L', '6R', '8L', '10L', '6L', '10L', '8R']"
29,-1,"['8R', '7R', '9R', '10L', '7L', '7L', '7L', '7L', '8L', '10L', '6R']"
30,-1,"['10R', '7R', '8L', '6L', '9L', '8L', '8L', '9L', '6L', '10L', '6L', '7L', '9L', '7R', '8L', '6R', '7R']"
31,1,"['8R', '7L', '6R', '8L', '6R', '7R', '8L', '8R', '6L']"
32,1,"['10L', '6R', '7L', '6R', '7L', '6R', '9R', '9L', '8R']"
33,1,"['8L', '6R', '7R', '10R', '7R', '10L', '7R', '6L', '8R', '10L', '8L', '7L', '9R', '9L', '6L', '8R']"
34,1,"['10L', '9L', '8L', '9R', '6L', '6L', '9R', '9R', '10R', '10L']"
35,-1,"['7L', '9R', '7R', '10L', '7R']"
36,1,"['6R', '10R', '9R', '8L', '7R', '8R', '10L', '9L', '7R', '7L', '6R', '9L', '10R', '8R', '10R']"
37,1,"['6R', '10L', '6L', '8L', '9R', '10R']"
38,-1,"['10R', '6R', '6L', '10L', '9L', '8R', '9L', '10L', '6R', '10L']"
39,1,"['9L', '9L', '6R', '10L', '9R', '10R', '6R', '7R']"
40,-1,"['7L', '6R', '6R', '6R', '9L', '6R', '7L', '10R', '8L', '6L', '7L', '6L', '6L', '8R']"
41,-1,"['10R', '6L', '10L', '7L', '10L', '6L', '7R']"
42,1,"['9R', '8R', '10L', '8R', '6R', '10R', '8R', '9R', '9L', '10L', '7R', '10R', '7R', '6R', '10R', '7R']"
43,-1,"['8R', '10L', '7L', '8R', '9R', '6R', '7L', '9R', '8R', '10R', '10L', '9R']"
44,1,"['7L', '10L', '6R', '8L', '10R', '8L', '8R', '9L', '8R', '9R', '9L', '8R', '9L', '8L']"
45,-1,"['8R', '9R', '7L', '6L', '7R', '10R', '7R', '9L', '8R', '9L', '8L', '9R', '8L', '6R', '9R']"
46,1,"['10R', '9L', '7L', '6L', '7R', '6R', '9R', '8R', '10R', '8L', '7R', '8R', '7R', '10R']"
47,-1,"['7L', '8R', '6L', '6R', '8L', '6L']"
48,-1,"['6L', '6R', '8R', '10L', '9L', '9R', '6R', '6L', '10L', '9L']"
49,1,"['10R', '8L', '9L', '6L', '9R', '6L', '10L', '9R', '10R', '6L', '9L', '8L', '7L', '6R', '7L', '6L', '7L', '9L', '6L', '9R', '7R', '8L']"
50,-1,"['7R', '9R', '6L', '7R', '8L', '9R', '7R', '9R', '9L', '6R', '7L', '9L', '7L', '6L', '8L', '6R', '7R']"
51,-1,"['6R', '10L', '7L', '8L', '7L', '8R', '6R', '7R', '8L', '7R', '8R']"
52,1,"['8R', '7R', '10L', '8R', '9L']"
53,1,"['6R', '8R', '6L', '7R', '9R', '10R', '6R', '8R', '9R', '6R', '7R', '8L', '6R', '7R', '7L', '9R', '10R']"
54,-1,"['9L', '9R', '9R', '10R', '9L', '6R', '10L', '7L', '6L', '6L', '6R', '10R', '7L', '9R', '7R', '9R', '7L', '6R']"
55,-1,"['9L', '10R', '6R', '7L', '6R', '10L']"
56,-1,"['9R', '10L', '6R', '6L', '8R', '8L', '10L', '6L']"
57,-1,"['6L', '7L', '7L', '9L', '9L', '9R', '6R', '10L', '8R', '9R', '10R', '6L', '10R', '8R']"
58,-1,"['9L', '10L', '6L', '6L', '7R', '8R', '10R', '6R', '7L', '6L', '9L', '8R', '9L']"
59,-1,"['10R', '7R', '6R', '9L', '7R', '7L', '6L', '8R', '8L', '7R', '8R', '10R', '8R', '7L', '9R', '7L', '7L', '6L', '9R', '6L', '9L', '8L', '7R', '10R', '8L', '7R', '10L', '9L']"
60,1,"['7L', '7L', '7R', '6L', '10L', '10R', '6R', '8L', '7L', '10R', '7L', '6R', '8L', '7L', '10L', '9R']"
61,-1,"['7R', '6L', '10R', '6R', '6L', '7R', '10R', '7L', '10R', '7L', '10R']"
62,-1,"['7R', '9L', '9R', '8L', '10R', '9R', '8R', '7L', '6R', '6L', '8L', '7L', '6L', '6R']"
63,-1,"['7R', '8R', '6R', '6R', '8R', '6R', '8R', '7R', '10R', '8L']"
64,1,"['9L', '6L', '7R', '8L', '6R', '9L', '6R', '10R', '9L', '7R', '6R', '7L', '9R', '8L', '7R', '8R', '9R', '10L', '8L', '7R']"
65,-1,"['9L', '10L', '6L', '10R', '9L', '8L', '6R', '7L', '9L', '8L', '7R', '9L', '8R']"
66,1,"['10L', '8R', '10R', '6R', '7L', '9L', '8L', '6R', '8L', '6L', '8L']"
67,1,"['9R', '7R', '9R', '10R', '9R', '8R', '9L', '10L', '7L']"
68,1,"['9R', '7R', '10R', '7L', '8L', '7L', '6R', '10L', '7R', '8R', '7R', '6R', '6L', '8L', '6R', '7L', '8L', '8L', '10L', '6L']"
69,-1,"['6R', '10R', '10L', '10L', '6L']"
70,-1,"['10R', '6R', '10R', '6R', '7R', '6L', '9R', '7R', '8R', '10R', '9R', '10L', '9R', '10L', '9R', '9L', '8R', '7L', '10R', '10L', '7R', '9L']"
71,-1,"['9R', '8R', '8R', '6L', '10R', '6R', '9L', '7R', '8L', '10R', '10R', '8L', '8L', '10L', '9R', '10R', '9L', '6L', '8R', '9L', '8L', '7L', '6R']"
72,-1,"['8L', '6L', '8L']"
73,1,"['6L', '8R', '10R', '10R', '8R', '6L', '9L', '10L']"
74,-1,"['6R', '7L', '9L', '6R', '9R', '7L', '8R', '10R', '9R']"
75,1,"['7L', '6R', '9L', '6L', '6L', '7L']"
76,1,"['10L', '9L', '6L', '8R', '9L', '7R', '9R', '8R', '7R', '9L', '9L', '6L', '10L', '9L', '8L', '7L']"
77,-1,"['10L', '10R', '7R', '6R', '7L', '8L']"
78,-1,"['6R', '7R', '8R', '9L', '6R', '6L', '7R', '7L', '10R', '9L', '8L', '7R', '8R']"
79,-1,"['10R', '6L', '7L', '7L', '6R', '7L', '7L', '6R', '10L']"
80,1,"['7L', '8L', '9L', '9L', '7L', '7L', '10L', '8R', '9R', '10R']"
81,-1,"['6L', '9L', '10L', '8L', '8R', '10L', '6R', '8L', '7L', '10L', '6R', '10L', '9R', '10R', '6L', '8L', '8L', '8L']"
82,1,"['6R', '10R', '6R', '8R', '6L', '8L', '10L', '10L', '9R', '7R', '9R', '10L', '7R']"
83,-1,"['6L', '8L', '10R', '9R', '10R', '7R', '7R', '6L', '10L', '6L']"
84,1,"['10R', '9L', '8R', '9L', '8R', '6L', '7R', '9L', '7R', '6R', '8L', '7R', '8R', '9R', '10L', '9L', '8L']"
85,1,"['7R', '10R', '9L', '9L', '9R', '6R', '9L', '6L', '8L', '7L', '6L', '7R', '8R', '9L', '10R', '8R']"
86,-1,"['9L', '8R', '9L', '7L', '8R', '9L', '7L', '7L', '10L', '9L', '8L', '7R', '8L', '7L', '6L', '10L', '9R', '10L', '9L', '8R']"
87,1,"['9L', '9L', '7L', '9R', '7R', '10R', '9L', '8L', '8R', '9L', '7L', '6R']"
88,1,"['8L', '7R', '6R', '10L', '10L', '6R', '7R', '6R', '7R', '10L']"
89,-1,"['9R', '6L', '6R', '10L', '7L', '6R', '6R', '8L', '10L', '7L', '8L', '10L']"
90,-1,"['10R', '7R', '9R', '6L', '10L', '6L', '7L', '6L', '10L', '9R', '10L', '10R', '7R']"
91,-1,"['7R', '7R', '8R', '10R', '7L', '8L', '7R', '10R', '8R', '9R', '10R', '6L', '9R', '7L', '6R', '10R', '8L']"
92,-1,"['7R', '8R', '7R', '9L', '6L', '8L', '9L', '10R', '7R', '9L', '8R', '9R']"
93,-1,"['6R', '8R', '9L', '6R', '9R', '10L', '9L', '10R', '9R', '8L', '7R', '6L', '8R', '6L', '9L']"
94,-1,"['10L', '10R', '8L', '7R', '6R', '9L', '9R', '7L', '9L', '8L', '7R', '6L']"
95,1,"['9L', '8L', '7L', '10R', '6R', '7R', '8R', '6R', '7L', '8L', '7L', '9L', '6L', '7L', '9L', '8R', '10L', '9L', '7L', '8L']"
96,-1,"['8R', '7R']"
97,1,"['8R', '7L', '6R', '6R', '9R']"
98,-1,"['9R', '10R', '10L', '6L', '9L', '8R', '8L', '10R']"
99,-1,"['8L', '9L', '6R', '10L', '10R', '6R', '8R', '9L', '8R', '9R', '10R', '7L', '9L']"
100,1,"['9L', '6R', '7L', '9R', '10L', '10R', '7L', '6L', '10R', '7R', '10R', '6L', '10L']"
101,-1,"['8R', '9R', '6R', '6L', '9L', '8R', '6L', '7L', '8R', '10R', '7L']"
102,1,"['6R', '6R', '7R', '6R', '9R', '6R', '9L', '10R', '8L', '9R', '10L']"
103,1,"['10L', '6R', '10L', '6L', '9L', '6R', '7R', '6L', '7R', '10R', '10L', '9R', '10R', '6R']"
104,-1,"['7L', '10R', '6R', '7L', '8R', '9L', '8R', '9R', '7R', '8L', '7R', '9L', '8R', '9R', '10R', '9R', '10R', '7R', '6R', '7L', '10R']"
105,-1,"['6L', '9L', '6R', '9L', '7L', '6L', '8R', '10R', '8L', '7R']"
106,-1,"['10R', '8L', '9L', '6L', '8L', '7L', '7L', '6R', '7R', '10R', '10R', '7R', '7R']"
107,1,"['7L', '10L', '8R', '8R', '7L', '9L', '6R', '10R', '6L', '7R', '8R', '9L', '8L']"
108,-1,"['9R', '10R', '9L', '7L', '10R', '7R', '8L', '10L', '9L', '8L', '6R']"
109,1,"['9R', '10L', '7L', '9R', '10L', '8L', '8L']"
110,-1,"['7L', '6L', '9L', '9L', '8R']"
111,1,"['8R', '6L', '8L', '9R', '7R', '8R', '7L', '7R', '8L', '7R', '8R']"
112,1,"['7R', '10R', '9L', '8R', '7L', '6R', '8L', '6R', '7L', '10L', '9L', '8R']"
113,1,"['7L', '6R', '8L', '10L', '7R', '10R', '9R', '8R', '10L', '8R', '9L', '7R', '7L', '9L', '10L']"
114,-1,"['9L', '7L', '8R', '6L', '9R', '8R', '9L', '10L', '9L', '8L']"
115,1,"['9R', '9R', '9R', '6L', '8R', '10R']"
116,1,"['10L', '9R', '6L', '9R', '10L', '9R', '6R', '7R', '10R', '9R', '10L']"
117,-1,"['6R', '8L', '6R', '7L', '9L', '10L', '6R', '10R', '10R', '7R', '6L', '7L', '6L', '8L', '9L', '10R', '7L', '6L', '9R']"
118,-1,"['10R', '9L', '10R', '7R', '6R', '8L', '7R', '7R', '10L']"
119,1,"['10R', '6R', '7R', '7R', '8L', '7R', '7R', '8R', '9L', '8R']"
120,-1,"['10R', '7L', '6R', '10R', '10L', '10L', '7R', '10R', '6L', '8L', '7L', '6L', '8L', '9L', '8L', '7R', '8R']"
121,1,"['8L', '10L', '7L', '10R', '10L', '6R', '8L', '7R', '6R', '7R', '8L', '6R', '9R', '6R']"
122,1,"['9L', '8L', '9L', '9R', '10R', '10L', '6R', '8L', '6L', '9R', '10R', '8R', '7L', '9L', '6L', '8L', '6L', '8L', '7R', '8L', '10L', '7L', '6R', '10R', '8R']"
123,-1,"['6L', '8R', '7R', '10R', '6L', '10L', '9L', '8L', '7L', '7L', '9L', '8L', '7L', '6R', '7L', '6R', '7L', '6L']"
124,-1,"['9R', '6L', '8R', '10R', '9R', '6R', '9R', '7L']"
125,1,"['6R', '6R', '8L', '7R', '9L', '6L', '10L', '9L', '6L', '8L', '7L', '6R', '8L', '9L', '7L', '6R']"
126,1,"['8R', '9R', '9L', '10L', '10R', '7L']"
127,1,"['10R', '9L', '7R', '10L', '7R', '9L', '10R', '6L', '8R', '10L', '10L']"
128,-1,"['8L', '8R', '6R', '7R', '8R', '9R', '10L', '9R', '10L']"
129,-1,"['8L', '7R', '8L']"
130,-1,"['10R', '8L', '7R', '8R', '6L', '9L', '8L', '7R', '6L', '9R', '8R', '9L', '8R', '9R', '9R']"
131,-1,"['9R', '9R', '8R', '6R', '8R', '9R', '6L', '8L', '6R', '7L', '10L', '6L', '10L']"
132,1,"['6L', '7L', '7R', '10L', '9L', '8L', '7R', '8L', '8L', '7R', '9R', '8L', '10L', '9R', '6L', '9R', '10L', '9R', '10R', '6R', '8L', '7R', '8R', '9R', '9L', '10R', '8R', '6R', '7L', '9R', '6R']"
133,1,"['10L', '7L', '6R', '9R', '6R', '10R', '10R', '7L', '7R', '10R', '7R', '8L']"
134,1,"['8L', '6L', '8R', '9L', '6R', '10L', '6R']"
135,1,"['9L', '6R', '10L', '8L', '7R', '8R', '9R', '9L', '8R', '9L', '8R', '9R', '10R', '10R', '9L', '10L', '9L', '10R', '7L', '6L', '9R', '8L', '10R', '9L', '10L', '6L', '7R', '6R', '9R', '10R', '7L', '6R', '7L', '6R', '9R', '7L', '6R', '7R', '8R', '10L', '9L']"
136,-1,"['10R', '6R', '9R', '10L', '9L', '6R', '9R', '8R', '7R', '9R', '8R', '7R', '8L', '7R', '6R', '8R']"
137,1,"['6L', '6L', '9R', '10L', '8L', '9R', '6R', '8R', '9L']"
138,1,"['8R', '10L', '7R', '9R', '10L', '7L', '8R', '7L', '10R', '6L', '10R', '7L']"
139,1,"['6R', '7L', '6R', '7L', '6L', '7L', '9R', '6R', '7R', '8R']"
140,-1,"['7R', '8L', '6R', '6L', '7R', '10R', '9L', '7R', '9R', '7L', '6R', '7L', '6R', '6R']"
141,1,"['10L', '10L']"
142,-1,"['7R', '7L', '10R', '8R', '9R', '9L', '8R', '10R', '6L', '10R', '7L', '6L', '8R', '9R']"
143,1,"['10L', '8R', '10L', '10L']"
144,-1,"['8R', '7L', '6R', '6R', '10L', '7R', '8R', '10L', '7L', '9L']"
145,-1,"['9R', '7R', '10R', '10L', '9R', '6R', '10R', '7L', '8R', '6R', '7R', '7L', '6L', '9R', '10R', '9L', '10R', '9R', '8R', '6L']"
146,1,"['8L', '9R', '10L', '7L', '7R', '8L', '7L', '6R', '8L', '10R', '8L', '7R', '8L', '9L', '6R', '8L', '7R', '8R', '7R', '8R', '9R']"
147,1,"['6L', '7R', '9L', '6R', '8L', '10L', '9L', '8R', '10L', '6L', '8R', '7L', '9L', '8L', '7L', '10L', '6R', '8L', '7R', '8L']"
148,1,"['10R', '6R', '7L', '7R', '7L', '8L', '7R', '10R', '10R', '8L', '7R', '9L', '8L', '6R', '7L', '6R', '7R', '8L', '7L']"
149,1,"['8L', '9L', '6L', '9R', '10L', '10L', '10R']"
150,1,"['10R', '6L', '8L', '6L', '9L', '7R', '9R', '8R', '9L', '8L', '8R']"
151,-1,"['8L', '10R', '8R', '6L', '10R', '6R', '10L']"
152,1,"['7R', '10R', '6L', '6L', '7L', '10R', '7L', '6R']"
153,-1,"['9R', '10R', '7R', '10L', '8R', '7L', '8R', '9L', '8L', '6R']"
154,-1,"['6L', '10R', '8L', '10R', '8L', '6L', '10R', '10R', '7L', '6L', '8L']"
155,-1,"['9L', '6R', '10R', '9L', '10L', '8L', '9L', '8R', '9L', '8R']"
156,1,"['10L', '9L', '6R', '9R', '10L', '7L', '6R', '7L', '10R', '8R', '7R', '6R', '7L', '6R', '7L', '6R', '7L', '6R', '7R', '8L', '7R', '8R']"
157,-1,"['8L', '7L', '9R', '8L', '8L', '8L', '10R', '10R', '7R', '6L']"
158,1,"['10L', '9R', '6L', '10L', '8R', '9L', '7L', '9R', '10R', '6R', '7L', '10R', '8R']"
159,-1,"['10R', '10R', '9R', '8L', '6R', '10L', '7R', '10R', '7L', '10L']"
160,1,"['9L', '8R', '7R', '6R', '6L', '7L', '8L']"
161,1,"['6L', '9L', '8L', '8L', '10R', '6R']"
162,1,"['10R', '9R', '8R', '7R', '10R', '7R', '6L', '9R', '8L', '7R', '8R', '7R', '8L']"
163,1,"['7L', '9R', '8R', '6L', '9R', '6L']"
164,-1,"['9L', '10L', '7R', '7R', '10L', '6R', '7R', '9R', '7R', '6L']"
165,-1,"['10R', '6R', '8R', '6L', '10R', '9R', '8R', '9L', '7L', '6L', '8L']"
166,-1,"['7L', '8R', '6L', '9R', '10L', '6L', '6L', '7R', '7L', '9R', '7R', '8L', '7R', '10R', '9L']"
167,-1,"['8R', '7L', '6R', '8R', '10R', '8R', '6R', '7R', '8L', '10L', '9L', '7L']"
168,1,"['6R', '8L', '8L', '9R', '7L', '6L', '6R', '7R', '9L', '7R', '8L', '7R', '8L', '7R', '8L', '7L', '6R']"
169,1,"['9R', '8L', '8R', '10R', '8R', '10L', '8R', '7R', '8L']"
170,1,"['9L', '7R', '10R', '8R', '9L', '8L', '6L', '6R', '7L', '10R', '6L', '6L', '7R', '8L', '7R', '10R', '9R', '6L', '6R', '7R', '10R', '8R', '9L', '8R', '9L', '8L', '7R', '8R']"
171,-1,"['7R', '7L', '6R', '9L', '8L', '7R', '8R', '9R', '8R']"
172,-1,"['6R', '10L', '7L', '8R', '9R', '8L']"
173,1,"['10L', '10L', '7R', '10R', '10L', '6L', '6L', '7L']"
174,1,"['6R', '6R', '9L', '10R', '10R', '8R', '9R', '10L', '8R']"
175,-1,"['7L', '7L', '6R', '6R', '7L', '8R', '9R', '10R', '8R', '6L', '7R']"
176,-1,"['6R', '8L', '6R', '6L', '9R', '7L', '10R', '6L', '7L', '10L', '7R', '6R', '7L', '6L', '9R', '10L', '9R', '10R', '8R', '9R', '10L', '9R', '10L', '9R', '10R', '6R', '9L', '8R', '9L', '8R', '8L', '10L', '8R']"
177,-1,"['7L', '7R', '6L', '6L', '7R', '8R', '9R', '9R', '7R']"
178,-1,"['10L', '9R', '6R', '10R', '9R']"
179,-1,"['10L', '6L', '10L', '6R', '7R', '6L', '8L', '10L']"
180,1,"['9L', '10L', '8L']"
181,-1,"['8R', '10R', '10L', '9L', '8R', '10R', '7L', '9L']"
182,0,"['7R', '7R', '10R', '7R', '9L', '9L', '9R', '8R', '10R', '8L', '7R', '8L', '7L', '10R', '6R']"
183,-1,"['10R', '10R', '10L', '7L', '6L', '6R']"
184,1,"['8L', '7L', '10R', '7L', '8L', '7R', '8L']"
185,-1,"['10L', '6R', '10L', '9R', '7R', '10R', '6L', '8L', '7R']"
186,1,"['7L', '8L', '7R', '8L', '10L', '7R', '8R', '10L', '8L', '10L']"
187,-1,"['10L', '6L', '6L', '7L', '6R', '6R', '9R', '8L', '7L', '10L', '8L', '6L', '7L', '6R', '7L', '6R', '7L', '6L', '8L', '9R', '7L', '6R', '7R', '8R', '9R', '10R', '6L', '9R', '7L', '9L', '8L', '7L', '6L', '8L', '10L', '9L', '8L']"
188,1,"['8L', '6R', '9R', '7R', '10L', '8R', '6R', '8L']"
189,-1,"['6R', '6L', '9L', '8L', '8R', '9L', '7R', '8R', '9L', '7L', '8L', '6R']"
190,1,"['7L', '6R', '7L', '6L', '8R', '6L', '6R', '10L', '9R', '10R']"
191,-1,"['6R', '9R', '10L', '8L', '7R', '10R', '8L', '6R', '9L', '6L', '7R', '10R', '8R', '10R', '9R', '10R', '7L', '6R']"
192,1,"['10L', '9L', '6R', '7R', '8R', '8L', '7R', '8L', '8L', '9R']"
193,-1,"['8R', '9L', '7R', '6R', '7R', '8R', '7R', '6R', '7L', '6R', '7L', '9R', '6L', '8L', '10L', '9R', '10L', '9L', '9R', '6L', '9R', '10R', '8L', '10L', '10R', '6R']"
194,1,"['6L', '8L', '10L', '8L', '6R', '10L', '6R', '10L', '9L', '8R', '6L', '10R', '8R', '7R', '9R', '10L']"
195,-1,"['9L', '9L', '7L', '6L', '9L']"
196,1,"['6R', '8L', '6L', '9R', '6L', '8R']"
197,-1,"['10L', '8R', '6R', '7L', '7R', '10R', '6L', '8L', '7L', '6L', '9R', '7L', '6L', '9L']"
198,-1,"['7R', '7L', '6L', '9L', '8R', '8R', '10L', '9R', '9L', '8R', '9L', '8L', '7L', '10L', '9R', '10R', '6R', '6R', '7R', '8R', '9L', '10L', '9R', '6L', '10L', '8R', '6L']"
199,-1,"['9R', '10R', '9L', '8L', '7L', '6R', '6L', '6R', '10L', '8R', '9L', '6L', '8L', '7L', '10R', '6R', '7L', '6R', '7L', '6L', '8L', '7L']"
200,1,"['6R', '7L', '9L', '9R', '7R', '6L', '8L', '7R', '10R', '10R', '9L', '8R']"
201,-1,"['10R', '6R', '10R', '6L', '8R', '10R', '9L', '10L', '8L', '10R', '6R']"
202,-1,"['6L', '9L', '9L', '9L', '6R', '7L', '10R', '6R', '10R', '9L', '10R', '6L', '8L', '6L', '7L', '8R', '8L', '9L', '8L', '7L', '10R']"
203,-1,"['8R', '6L', '7R', '8R', '10L', '8L', '10L', '7R', '9R', '6L', '7L', '10L', '10R', '7L']"
204,1,"['8L', '7L', '8L', '10L', '8R', '9R', '10L', '8R', '6L', '10L', '8L', '7L', '7L', '8R']"
